a1;a2;a3;a4;a5;sum
0.01858791;0.02966875;-0.03716176;-0.03232286;0.02122796;0.13896924
-0.02080526;0.04561603;-0.01889699;-0.02991859;0.02400481;0.13924168
0.03474433;0.03490814;-0.02313977;-0.02646518;-0.02004752;0.13930494
0.02942924;0.02581558;0.01476507;-0.03649194;-0.03351794;0.14001977
-0.02442706;0.05158616;-0.04224167;0.01862514;-0.00354258;0.14042261
-0.03571448;0.02889959;-0.03452748;0.01933134;0.02201104;0.14048393
0.03419957;0.03689145;-0.02463798;-0.02335275;-0.0231003;0.14218205
-0.0203248;0.04702209;0.02450918;-0.02492242;-0.02628405;0.14306254
0.02872449;-0.02003115;0.016521;-0.05185503;0.02664069;0.14377236
-0.0165782;0.04761966;-0.03200117;-0.02331263;0.02427234;0.143784
-0.01468649;0.04299815;-0.03226193;-0.02512923;0.02907949;0.14415529
-0.03380884;0.04499419;-0.03851297;0.01215857;0.01516905;0.14464362
0.02096479;0.02709132;-0.0346553;-0.03801132;0.02461052;0.14533325
0.02867904;-0.02586748;0.01764051;-0.04688886;0.02643679;0.14551268
-0.0371182;0.03118536;-0.03611173;0.0217583;0.02028626;0.14645985
-0.02296383;0.05163064;-0.0282868;0.02174511;-0.02212512;0.1467515
-0.02177051;0.04328947;-0.0328015;0.03016945;-0.01888692;0.14691785
-0.02233095;0.04254067;-0.02224273;-0.02909875;0.03113175;0.14734485
-0.02305818;0.02719268;0.02172149;-0.05164194;0.02578595;0.14940024
0.0239582;0.03346645;-0.0290787;-0.04577291;0.01742696;0.14970322
-0.03038189;0.05289438;-0.02064983;0.02197843;-0.02384109;0.14974562
0.02005145;0.03347077;-0.03622935;-0.03905761;0.02176475;0.15057393
0.03129667;0.0443111;-0.02324185;-0.02976828;-0.02259764;0.15121554
-0.03171865;0.04991548;-0.02216507;0.02700272;-0.02303449;0.15383641
-0.02659246;0.04638132;0.03058779;-0.0277226;-0.02265405;0.15393822
-0.02775125;0.04112335;0.03593453;-0.02835364;-0.02095299;0.15411576
-0.02117063;0.0518579;-0.0257896;-0.03013062;0.02523295;0.1541817
-0.03061529;0.05182953;0.02537966;-0.03735376;-0.00924014;0.15441838
-0.02690396;0.04541685;0.03194561;-0.02454161;-0.02591688;0.15472491
-0.03126611;0.03817455;0.01846634;-0.04639985;0.02102508;0.15533193
0.02667272;0.0512566;-0.02656578;-0.02213934;-0.0292242;0.15585864
-0.04153498;0.03972289;0.00956466;-0.03658312;0.02883055;0.1562362
0.03707922;0.04116668;-0.02272419;-0.03198408;-0.02353763;0.1564918
-0.02087427;0.04113253;0.03715123;-0.03434575;-0.02306374;0.15656752
0.03184058;0.046458;-0.02685608;-0.02548068;-0.02596182;0.15659716
